DISTRICT,NATIONAL_SCHOOLS,PROVINCIAL_SCHOOLS,TOTAL_SCHOOLS
COLOMBO,39,357,396
GAMPAHA,20,515,535
KALUTARA,20,397,417
KANDY,36,614,650
MATALE,12,300,312
NUWARA ELIYA,8,541,549
GALLE,30,397,427
MATARA,23,335,358
HAMBANTOTA,17,303,320
JAFFNA,8,439,447
MANNAR,5,126,131
VAVUNIYA,5,166,171
MULLAITIVU,3,124,127
KILINOCHCHI,3,101,104
BATTICALOA,13,352,365
AMPARA,17,426,443
TRINCOMALEE,12,303,315
KURUNEGALA,31,840,871
PUTTALAM,8,364,372
ANURADHAPURA,8,551,559
POLONNARUWA,9,243,252
BADULLA,27,577,604
MONERAGALA,11,280,291
RATNAPURA,16,578,594
KEGALLE,15,501,516
